강수분석,,
[검색조건],,
자료구분 : 일,,
자료형태 : 기본,,
지역/지점 : 서울,,
기간 : 20180101~20210630,,
,,
날짜,지점,강수량(mm)
2019.1.19,108,
2019.1.20,108,
2019.1.21,108,0
2019.1.22,108,
2019.1.23,108,
2019.1.24,108,
2019.1.25,108,
2019.1.26,108,
2019.1.27,108,
2019.1.28,108,0
2019.1.29,108,
2019.1.30,108,
2019.1.31,108,
2019.2.1,108,0.3
2019.2.2,108,0
2019.2.3,108,16
2019.2.4,108,
2019.2.5,108,
2019.2.6,108,
2019.2.7,108,0.5
2019.2.8,108,
2019.2.9,108,
2019.2.10,108,
2019.2.11,108,
2019.2.12,108,0
2019.2.13,108,
2019.2.14,108,
2019.2.15,108,2.2
2019.2.16,108,0.2
2019.2.17,108,
2019.2.18,108,
2019.2.19,108,4.6
2019.2.20,108,0
2019.2.21,108,
2019.2.22,108,
2019.2.23,108,
2019.2.24,108,
2019.2.25,108,
2019.2.26,108,
2019.2.27,108,
2019.2.28,108,
2019.3.1,108,
2019.3.2,108,
2019.3.3,108,
2019.3.4,108,
2019.3.5,108,
2019.3.6,108,
2019.3.7,108,
2019.3.8,108,
2019.3.9,108,
2019.3.10,108,
2019.3.11,108,0
2019.3.12,108,0
2019.3.13,108,0
2019.3.14,108,0
2019.3.15,108,3.5
2019.3.16,108,
2019.3.17,108,
2019.3.18,108,
2019.3.19,108,
2019.3.20,108,16.5
2019.3.21,108,3.3
2019.3.22,108,
2019.3.23,108,1.7
2019.3.24,108,
2019.3.25,108,
2019.3.26,108,
2019.3.27,108,
2019.3.28,108,
2019.3.29,108,
2019.3.30,108,1.8
2019.3.31,108,0
2019.4.1,108,
2019.4.2,108,
2019.4.3,108,
2019.4.4,108,
2019.4.5,108,0
2019.4.6,108,0.8
2019.4.7,108,
2019.4.8,108,
2019.4.9,108,17.4
2019.4.10,108,5.6
2019.4.11,108,
2019.4.12,108,
2019.4.13,108,
2019.4.14,108,1.7
2019.4.15,108,
2019.4.16,108,
2019.4.17,108,
2019.4.18,108,0
2019.4.19,108,
2019.4.20,108,1.2
2019.4.21,108,0.3
2019.4.22,108,
2019.4.23,108,0
2019.4.24,108,4.1
2019.4.25,108,11.3
2019.4.26,108,4.9
2019.4.27,108,
2019.4.28,108,0
2019.4.29,108,
2019.4.30,108,
2019.5.1,108,
2019.5.2,108,
2019.5.3,108,
2019.5.4,108,
2019.5.5,108,
2019.5.6,108,0
2019.5.7,108,
2019.5.8,108,
2019.5.9,108,
2019.5.10,108,
2019.5.11,108,
2019.5.12,108,
2019.5.13,108,0
2019.5.14,108,
2019.5.15,108,
2019.5.16,108,
2019.5.17,108,
2019.5.18,108,0
2019.5.19,108,22
2019.5.20,108,8.7
2019.5.21,108,
2019.5.22,108,
2019.5.23,108,
2019.5.24,108,
2019.5.25,108,
2019.5.26,108,
2019.5.27,108,7.1
2019.5.28,108,
2019.5.29,108,
2019.5.30,108,0
2019.5.31,108,
2019.6.1,108,
2019.6.2,108,
2019.6.3,108,
2019.6.4,108,
2019.6.5,108,
2019.6.6,108,7.5
2019.6.7,108,35.3
2019.6.8,108,
2019.6.9,108,2.5
2019.6.10,108,9.5
2019.6.11,108,
2019.6.12,108,
2019.6.13,108,
2019.6.14,108,
2019.6.15,108,2.1
2019.6.16,108,
2019.6.17,108,0
2019.6.18,108,13.8
2019.6.19,108,0.2
2019.6.20,108,
2019.6.21,108,0.2
2019.6.22,108,
2019.6.23,108,
2019.6.24,108,
2019.6.25,108,
2019.6.26,108,0
2019.6.27,108,1.4
2019.6.28,108,0
2019.6.29,108,1.5
2019.6.30,108,0
2019.7.1,108,
2019.7.2,108,
2019.7.3,108,
2019.7.4,108,
2019.7.5,108,0
2019.7.6,108,
2019.7.7,108,
2019.7.8,108,
2019.7.9,108,
2019.7.10,108,8.5
2019.7.11,108,2.9
2019.7.12,108,
2019.7.13,108,0
2019.7.14,108,
2019.7.15,108,7.7
2019.7.16,108,6.3
2019.7.17,108,0.7
2019.7.18,108,
2019.7.19,108,0
2019.7.20,108,1.1
